edad,genero,carrera,materias_inscritas,horas_estudio_semana,asistencia,uso_plataformas,gpa,trabajo,internet
23,M,Medicina,4,11,72.1,Microsoft Teams,2.57,0,1
31,F,Comunicación Social,6,28,75.6,Moodle,3.07,0,0
27,M,Arquitectura,6,14,72.1,Google Classroom,2.13,0,1
24,M,Turismo,5,17,57.6,Zoom,2.07,1,1
23,M,Contaduría Pública,5,22,88.5,Blackboard,3.05,0,1
35,F,Ingeniería Industrial,4,16,74.3,Blackboard,2.4,1,1
27,F,Psicología,6,25,78.2,Blackboard,2.58,1,1
27,M,Administración de Empresas,4,15,69.3,Microsoft Teams,1.8,1,0
20,M,Arquitectura,7,15,85.1,Zoom,2.33,0,1
24,M,Medicina,4,25,81.0,Microsoft Teams,3.03,0,1
19,F,Contaduría Pública,8,12,96.2,Google Classroom,2.38,1,1
18,M,Medicina,4,19,85.2,Moodle,2.22,0,1
28,M,Comunicación Social,8,6,75.0,Blackboard,1.5,1,0
22,F,Comunicación Social,8,30,66.9,Zoom,2.64,1,1
18,M,Turismo,8,26,91.0,Blackboard,2.67,0,1
17,F,Enfermería,7,37,73.8,Microsoft Teams,2.99,0,1
28,M,Psicología,4,27,75.4,Canvas,3.14,0,1
28,M,Arquitectura,4,10,75.4,Google Classroom,1.94,1,1
33,M,Mercadotecnia,7,22,72.0,Moodle,2.19,1,1
26,F,Mercadotecnia,6,11,75.7,Google Classroom,2.1,0,1
32,F,Arquitectura,5,29,100.0,Canvas,3.87,1,1
31,F,Administración de Empresas,4,10,62.3,Moodle,1.65,1,1
31,M,Turismo,5,9,65.8,Canvas,1.5,0,0
35,F,Psicología,7,6,98.8,Google Classroom,2.44,0,0
28,M,Medicina,6,14,72.4,Microsoft Teams,2.17,0,1
19,M,Administración de Empresas,6,13,71.2,Google Classroom,2.03,0,1
21,F,Ingeniería en Sistemas,6,9,93.5,Google Classroom,2.2,0,1
35,M,Arquitectura,7,31,56.7,Google Classroom,2.27,1,1
23,M,Medicina,8,21,90.3,Zoom,3.19,1,1
25,M,Mercadotecnia,8,20,78.7,Canvas,1.91,0,1
23,M,Derecho,5,29,85.0,Canvas,2.9,1,1
34,M,Ingeniería Industrial,8,19,84.7,Blackboard,2.44,1,1
20,F,Enfermería,8,12,68.6,Canvas,2.16,0,1
30,M,Mercadotecnia,6,6,93.8,Blackboard,2.51,1,1
34,F,Psicología,6,12,69.7,Zoom,1.86,0,1
25,F,Comunicación Social,5,28,84.1,Microsoft Teams,2.98,0,1
18,M,Ingeniería Industrial,4,9,96.6,Blackboard,2.42,0,1
31,M,Ingeniería Industrial,5,20,98.7,Google Classroom,3.18,1,1
23,M,Derecho,5,25,74.0,Microsoft Teams,2.9,0,1
28,F,Enfermería,7,19,84.9,Zoom,2.38,1,1
24,M,Enfermería,7,20,72.6,Canvas,2.47,0,1
31,F,Ingeniería en Sistemas,5,22,100.0,Blackboard,3.09,1,1
19,M,Ingeniería en Sistemas,5,20,89.7,Google Classroom,2.65,0,1
30,F,Contaduría Pública,5,29,79.3,Moodle,2.99,1,1
33,M,Mercadotecnia,8,10,82.7,Moodle,2.1,0,0
20,M,Mercadotecnia,7,19,84.1,Microsoft Teams,2.57,0,1
34,F,Mercadotecnia,5,5,84.6,Canvas,1.51,0,1
24,F,Contaduría Pública,6,3,74.4,Moodle,1.5,1,0
20,M,Turismo,6,17,72.1,Microsoft Teams,2.44,0,1
18,F,Administración de Empresas,8,21,75.7,Zoom,2.08,0,1
22,F,Enfermería,8,29,60.9,Microsoft Teams,2.65,1,1
26,F,Derecho,4,34,88.8,Microsoft Teams,3.26,1,1
20,F,Psicología,4,27,66.0,Microsoft Teams,2.83,0,1
34,M,Enfermería,4,23,62.1,Google Classroom,2.46,1,1
28,M,Ingeniería en Sistemas,8,19,77.8,Microsoft Teams,2.26,1,1
18,M,Ingeniería Industrial,8,7,76.0,Blackboard,1.76,0,1
26,F,Medicina,8,16,81.7,Microsoft Teams,1.75,1,1
20,F,Comunicación Social,6,27,69.5,Google Classroom,2.55,1,1
