Edad,Género,Carrera,Materias Inscritas,Horas de Estudio por Semana,Asistencia (%),Uso de Plataforma Virtual,Promedio (GPA),Trabajo,Acceso a Internet
23,Masculino,Medicina,4,11,72.1,Microsoft Teams,2.57,No,Sí
31,Femenino,Comunicación Social,6,28,75.6,Moodle,3.07,No,No
27,Masculino,Arquitectura,6,14,72.1,Google Classroom,2.13,No,Sí
24,Masculino,Turismo,5,17,57.6,Zoom,2.07,Sí,Sí
23,Masculino,Contaduría Pública,5,22,88.5,Blackboard,3.05,No,Sí
35,Femenino,Ingeniería Industrial,4,16,74.3,Blackboard,2.4,Sí,Sí
27,Femenino,Psicología,6,25,78.2,Blackboard,2.58,Sí,Sí
27,Masculino,Administración de Empresas,4,15,69.3,Microsoft Teams,1.8,Sí,No
20,Masculino,Arquitectura,7,15,85.1,Zoom,2.33,No,Sí
24,Masculino,Medicina,4,25,81,Microsoft Teams,3.03,No,Sí
19,Femenino,Contaduría Pública,8,12,96.2,Google Classroom,2.38,Sí,Sí
18,Masculino,Medicina,4,19,85.2,Moodle,2.22,No,Sí
28,Masculino,Comunicación Social,8,6,75,Blackboard,1.5,Sí,No
22,Femenino,Comunicación Social,8,30,66.9,Zoom,2.64,Sí,Sí
18,Masculino,Turismo,8,26,91,Blackboard,2.67,No,Sí
17,Femenino,Enfermería,7,37,73.8,Microsoft Teams,2.99,No,Sí
28,Masculino,Psicología,4,27,75.4,Canvas,3.14,No,Sí
28,Masculino,Arquitectura,4,10,75.4,Google Classroom,1.94,Sí,Sí
33,Masculino,Mercadotecnia,7,22,72,Moodle,2.19,Sí,Sí
26,Femenino,Mercadotecnia,6,11,75.7,Google Classroom,2.1,No,Sí
32,Femenino,Arquitectura,5,29,100,Canvas,3.87,Sí,Sí
31,Femenino,Administración de Empresas,4,10,62.3,Moodle,1.65,Sí,Sí
31,Masculino,Turismo,5,9,65.8,Canvas,1.5,No,No
35,Femenino,Psicología,7,6,98.8,Google Classroom,2.44,No,No
28,Masculino,Medicina,6,14,72.4,Microsoft Teams,2.17,No,Sí
19,Masculino,Administración de Empresas,6,13,71.2,Google Classroom,2.03,No,Sí
21,Femenino,Ingeniería en Sistemas,6,9,93.5,Google Classroom,2.2,No,Sí
35,Masculino,Arquitectura,7,31,56.7,Google Classroom,2.27,Sí,Sí
23,Masculino,Medicina,8,21,90.3,Zoom,3.19,Sí,Sí
25,Masculino,Mercadotecnia,8,20,78.7,Canvas,1.91,No,Sí
23,Masculino,Derecho,5,29,85,Canvas,2.9,Sí,Sí
34,Masculino,Ingeniería Industrial,8,19,84.7,Blackboard,2.44,Sí,Sí
20,Femenino,Enfermería,8,12,68.6,Canvas,2.16,No,Sí
30,Masculino,Mercadotecnia,6,6,93.8,Blackboard,2.51,Sí,Sí
34,Femenino,Psicología,6,12,69.7,Zoom,1.86,No,Sí
25,Femenino,Comunicación Social,5,28,84.1,Microsoft Teams,2.98,No,Sí
18,Masculino,Ingeniería Industrial,4,9,96.6,Blackboard,2.42,No,Sí
31,Masculino,Ingeniería Industrial,5,20,98.7,Google Classroom,3.18,Sí,Sí
23,Masculino,Derecho,5,25,74,Microsoft Teams,2.9,No,Sí
28,Femenino,Enfermería,7,19,84.9,Zoom,2.38,Sí,Sí
24,Masculino,Enfermería,7,20,72.6,Canvas,2.47,No,Sí
31,Femenino,Ingeniería en Sistemas,5,22,100,Blackboard,3.09,Sí,Sí
19,Masculino,Ingeniería en Sistemas,5,20,89.7,Google Classroom,2.65,No,Sí
30,Femenino,Contaduría Pública,5,29,79.3,Moodle,2.99,Sí,Sí
33,Masculino,Mercadotecnia,8,10,82.7,Moodle,2.1,No,No
20,Masculino,Mercadotecnia,7,19,84.1,Microsoft Teams,2.57,No,Sí
34,Femenino,Mercadotecnia,5,5,84.6,Canvas,1.51,No,Sí
24,Femenino,Contaduría Pública,6,3,74.4,Moodle,1.5,Sí,No
20,Masculino,Turismo,6,17,72.1,Microsoft Teams,2.44,No,Sí
18,Femenino,Administración de Empresas,8,21,75.7,Zoom,2.08,No,Sí
22,Femenino,Enfermería,8,29,60.9,Microsoft Teams,2.65,Sí,Sí
26,Femenino,Derecho,4,34,88.8,Microsoft Teams,3.26,Sí,Sí
20,Femenino,Psicología,4,27,66,Microsoft Teams,2.83,No,Sí
34,Masculino,Enfermería,4,23,62.1,Google Classroom,2.46,Sí,Sí
28,Masculino,Ingeniería en Sistemas,8,19,77.8,Microsoft Teams,2.26,Sí,Sí
18,Masculino,Ingeniería Industrial,8,7,76,Blackboard,1.76,No,Sí
